,Unnamed: 0,FileName,dominant_emotion,EmoAct,EmoVal,Gender,Split_Set,Corpus
82792,82792,MSP-PODCAST_2347_1343.wav,angry,0.9722221666666666,0.0833333333333333,Female,Development,MSP-PODCAST
90863,90863,MSP-PODCAST_4250_0171_0002.wav,angry,0.6666666666666666,0.3999999999999999,Female,Development,MSP-PODCAST
76945,76945,MSP-PODCAST_0262_0541.wav,angry,0.5490196666666667,0.254902,Female,Development,MSP-PODCAST
87717,87717,MSP-PODCAST_3066_0050.wav,angry,0.7000000000000001,0.5,Male,Development,MSP-PODCAST
89563,89563,MSP-PODCAST_3819_0443.wav,angry,0.7333333333333334,0.3,Male,Development,MSP-PODCAST
83725,83725,MSP-PODCAST_2420_0531.wav,angry,0.8666666666666667,0.3333333333333333,Female,Development,MSP-PODCAST
84065,84065,MSP-PODCAST_2421_0033.wav,angry,0.8611111666666668,0.25,Female,Development,MSP-PODCAST
90070,90070,MSP-PODCAST_3914_0394.wav,angry,0.6666666666666666,0.3666666666666667,Female,Development,MSP-PODCAST
84827,84827,MSP-PODCAST_2422_0286.wav,angry,0.7666666666666666,0.0666666666666666,Female,Development,MSP-PODCAST
84635,84635,MSP-PODCAST_2421_1384.wav,angry,0.7999999999999999,0.1,Female,Development,MSP-PODCAST
76838,76838,MSP-PODCAST_0261_0321.wav,angry,0.6944445,0.25,Female,Development,MSP-PODCAST
89549,89549,MSP-PODCAST_3819_0213_0000.wav,angry,0.5555555,0.3333333333333333,Male,Development,MSP-PODCAST
76062,76062,MSP-PODCAST_0133_0026.wav,angry,0.8070175,0.3070175,Male,Development,MSP-PODCAST
89183,89183,MSP-PODCAST_3718_0173.wav,angry,0.7999999999999999,0.3333333333333333,Male,Development,MSP-PODCAST
77102,77102,MSP-PODCAST_0380_0253_0001.wav,angry,0.6515151666666666,0.3939393333333333,Female,Development,MSP-PODCAST
84090,84090,MSP-PODCAST_2421_0086_0004.wav,angry,0.5333333333333333,0.2333333333333333,Female,Development,MSP-PODCAST
